timestamp_start,timestamp_end,target,ip_protocol,packet_loss,packets_send,ping_avg,ping_worst,ping_best,ping_stddev,average_speed
2024-02-27 07:52:01,2024-02-27 07:52:26,131.173.23.81,v4,0.8,250,56.835,79.495,48.169,5.044,40.1838503321919
2024-02-27 07:52:57,2024-02-27 07:53:22,131.173.23.81,v4,0,250,57.996,117.601,42.898,10.364,2.50215934486522
2024-02-27 07:53:52,2024-02-27 07:54:17,131.173.23.81,v4,0.4,250,58.253,109.659,42.477,11.962,2.53111119862914
2024-02-27 07:54:47,2024-02-27 07:55:12,131.173.23.81,v4,2.4,250,67.97,261.675,44.769,20.439,20.8057567992685
2024-02-27 07:56:06,2024-02-27 07:56:31,131.173.23.81,v4,2.4,250,50.814,126.279,43.079,6.619,0
2024-02-27 07:57:07,2024-02-27 07:57:32,131.173.23.81,v4,0,250,55.875,95.812,42.857,6.737,0
2024-02-27 07:58:03,2024-02-27 07:58:33,131.173.23.81,v4,77.6,250,55.049,64.561,51.7,2.645,0
2024-02-27 08:01:10,2024-02-27 08:01:35,131.173.23.81,v4,0,250,49.854,120.946,42.855,6.077,16.5059794740407
2024-02-27 08:02:33,2024-02-27 08:02:58,131.173.23.81,v4,0,250,57.358,118.067,42.818,7.491,6.22669128285409
2024-02-27 08:03:29,2024-02-27 08:03:54,131.173.23.81,v4,0.4,250,49.513,116.404,42.455,6.831,27.0835438772755
2024-02-27 08:06:15,2024-02-27 08:06:40,131.173.23.81,v4,0,250,49.778,75.27,42.853,4.82,23.1274963399907
2024-02-27 08:07:10,2024-02-27 08:07:35,131.173.23.81,v4,0.4,250,48.745,75.112,43.53,4.157,7.66123878094471
2024-02-27 08:24:13,2024-02-27 08:24:38,131.173.23.81,v4,4,250,53.146,185.327,43.629,11.093,32.538924471945
2024-02-27 08:25:32,2024-02-27 08:25:57,131.173.23.81,v4,0,250,55.583,91.743,43.618,7.862,0
2024-02-27 08:26:28,2024-02-27 08:26:53,131.173.23.81,v4,0.4,250,51.905,78.969,42.705,4.514,0
2024-02-27 08:27:22,2024-02-27 08:27:47,131.173.23.81,v4,0.8,250,54.852,92.919,42.931,5.96,0
2024-02-27 08:28:22,2024-02-27 08:28:47,131.173.23.81,v4,0,250,56.874,101.71,50.759,5.406,0
